AACombo,Fitness
LYGA,0.397654379
IDDA,0.000216478
VTGE,0.003016385
ATGA,0.01242041
LHCV,0.077292287
VDGW,0.079890227
FEGA,0.114621011
MEGA,0.026646806
VEDA,0.000700322
IYGI,0.347105148
WGGV,0.003252033
MDGY,0.016284538
FYGV,0.469388315
VAGT,0.110748656
IDGC,0.169970918
VVGC,0.225049652
AVGI,0.004634227
YDGA,0.124572113
VSNV,0.001788575
VAAL,0.107004021
VCDV,0.002725733
VEYV,0.003235969
VDEG,0
ITGV,0.107490216
VNTI,0.000230008
VYDV,0.001642049
MLGI,0.024602418
MGGL,0.02611155
VRGM,0.270890926
VTGR,0.00043706
VNGT,0.105787103
LHGA,0.377862921
VLGM,0.080436941
VEGP,0.000472761
VDGR,0.000703902
VELV,0.000769206
VDGA,0.156694215
CNGV,0.075764612
IDSI,0.003235969
VNGS,0.12699825
QDGI,0.004447772
VDVG,0.033939921
VAAA,0.707733366
MHGL,0.179708808
VYGL,0.379346263
LDAA,0.35266106
EQGV,0.041708044
IDEI,0
VRGA,0.249831446
MACV,0.063407499
IYGL,0.423193176
AEGV,0.001840061
TDSI,0
VGGS,0.012322831
EDGA,0.007191964
ADGN,0
NNGV,0.002996441
VDNM,0
INGT,0.196128271
VDNG,0.007596822
LAGA,0.253255646
TDSV,0
YDGL,0.014657804
VTRV,0.000355466
MDAA,0.276277313
ITCV,0.010032568
VQRV,0.000684986
CNGI,0.032357039
MAGV,0.100808016
NDGA,0.000914905
FLGV,0.055579692
VACI,0.016463701
IEGA,0.06995731
CDNV,0.000161242
VDCA,0.420812209
RSGV,0.067878569
MDGH,0.009847733
TFGV,0.307658158
MESV,0.000611754
VDQV,0.000476991
VDAF,0.017140292
MQGA,0.070813156
SAGV,0.023295027
DDAV,0
VNGW,0.099070656
VHQV,0
LEGT,0.042427148
IDGN,0.026936445
INGG,0.08966637
LDRV,0.00039659
LAGV,0.257960121
GDGG,0.000334557
CDGA,0.022571045
EYGV,0.0811723
LHGM,0.321341518
VDAG,0.270242324
IAAA,5.869186435
VAAC,2.705083348
FAAA,4.032701749
FFGV,3.600575884
IFGC,3.170971338
FFGC,4.366147524
FYGL,2.535000014
LYGL,2.616191456
FYGC,4.365278479
FFGF,1.845840847
IFGF,2.898128774
FYGM,2.632553512
IYGC,4.485749729
IYGV,4.38774529
FYGF,2.820173261
IYGM,3.774214685
IYGF,3.364247522
FFGI,0.649679016
VFGC,3.703517871
IFGI,1.802634281
FRGM,1.61547942
VAAG,2.482738208
FRGF,0.7120366
IRGM,2.018250011
FYGI,0.998020839
LRGA,2.393639169
IRGF,1.873667773
IAAG,3.569015892
FRGI,0.189248017
LFGD,0.172280953
FAAG,1.754763419
