AACombo,Fitness
CFNE,0.0003381733272498084
YACF,0.0013649905209005132
CSFH,0.001318638383770721
QYFK,0.0
RGRS,0.0002935816985739551
KAGG,0.004001509727106882
FHWC,0.0
YSRL,0.00027022315800416606
SVRQ,0.0002977255657102453
YYSN,0.0001503895806280952
MAFE,9.450463072682538e-05
LMKM,0.00035749751737827105
SAWC,0.0006436426496005266
TYCC,0.15193644488579375
LKHE,0.00019924224694630328
VRER,0.00017140291929143656
TPLR,0.0012388527829969467
ARVL,0.0009479100839578656
VVVL,0.0003532765507968855
EINS,0.0007412567007253018
QPDI,0.0004985025142724168
GSEL,5.1280381591108955e-05
ILDY,0.0004075704595512506
AMFM,0.0
NRRC,0.00100026558278033
TGPC,0.0013033763654457743
GPNM,0.0
WHLG,0.46716129239932697
RLHR,0.00017399832814300858
HYFK,0.000823185072909937
RKEE,0.00024062332900449577
NDAL,0.00043954612792395406
LQEV,0.0
RDES,0.00028041729531647015
PNPL,0.0
QFRY,6.95134061568797e-05
DATW,0.0
QHSV,0.0003729482297537272
KCMG,0.015988083416043526
NTAK,0.0001231536723254322
ASPK,0.0
HCSG,0.0024195273966161348
YYSE,0.00016041555266928343
RGNF,0.00018675243445101197
GFKA,0.00026966407560844726
CEIL,0.0008557121426610345
LKAA,0.45084768735833375
WFIR,0.00044057792634627594
WWKE,0.0004265595377806971
WSFC,0.42941244727866
AKML,0.0016041555266928342
DYLK,0.0016463701458244392
HTTH,0.0003647933850798684
YIFK,0.0011730387288954904
SWRG,0.0003803165078487146
CLNG,0.0018575435136970009
AIYV,0.012512413108188129
GQWK,0.0
HNEI,0.0
KVYE,0.00030883953370172435
HRVF,0.00019309279488072864
LNGD,0.007218699870134874
PSWN,0.00040624717883941126
WYTG,0.0009569723218540223
NKSC,0.0005045327866229557
DLLN,0.0005018347503307689
LLPT,0.00027555525696412416
VPSM,0.0003723932472690799
STYA,0.000585112843190501
CWLM,0.002397849201932021
LPTA,0.00023431485221379086
LNAS,0.07176532759429614
TPMW,0.0
LTYI,0.00040414771021412486
KDPG,0.00018081521832689963
PPDG,0.0007403794738606894
RMTC,0.0005500767779121642
HPYF,0.0
WLHP,0.0003782669577938936
ENLA,0.25877945292017546
MMME,0.00025570326515488386
TGWT,0.0
YCMH,0.0004739550419789328
TMSH,0.00023519573511761394
YARQ,0.0002610378256241479
WIER,0.00031757393675774714
QKKI,0.0
WWMA,0.7015888778545859
TSDV,0.0
GLNR,5.8688616830389884e-05
ESWE,0.0003066767918690569
FDYG,0.040523156089137695
HHYW,0.0
SDPN,0.0002792949354515246
HNKV,0.0002564019079561154
EANH,0.0007331492055613934
